BRCA Baseline Logistic Regression - 10 Runs 

Metric                     Mean        Std        Min        Max
------------------------------------------------------------
Accuracy                 0.8176     0.0238     0.7690     0.8541
Macro F1                 0.7268     0.0278     0.6849     0.7822
Weighted F1              0.8113     0.0249     0.7622     0.8498
Macro Recall             0.7179     0.0274     0.6750     0.7626
Weighted Recall          0.8176     0.0238     0.7690     0.8541
ROC-AUC                  0.9377     0.0116     0.9167     0.9498

Per-run details:
 run       seed  accuracy  macro_f1  weighted_f1  macro_recall  weighted_recall  roc_auc
   1 2082915565  0.811550  0.708141     0.802419      0.716177         0.811550 0.930798
   2  896622543  0.832827  0.744378     0.826750      0.743128         0.832827 0.938463
   3 1412289386  0.826748  0.711270     0.819487      0.694944         0.826748 0.940443
   4  940265936  0.854103  0.782181     0.849787      0.762596         0.854103 0.949395
   5 1391639859  0.811550  0.717811     0.801085      0.702220         0.811550 0.941627
   6 1964641600  0.790274  0.708521     0.783656      0.705011         0.790274 0.920717
   7  204787680  0.829787  0.752958     0.827233      0.747634         0.829787 0.949073
   8  955876652  0.768997  0.684946     0.762203      0.674979         0.768997 0.916749
   9  694085801  0.823708  0.720336     0.815916      0.701121         0.823708 0.949819
  10 2033986278  0.826748  0.737494     0.824168      0.730844         0.826748 0.940244
