COAD Baseline Logistic Regression - 10 Runs

Metric                     Mean        Std        Min        Max
------------------------------------------------------------
Accuracy                 0.8320     0.0251     0.7767     0.8641
Macro F1                 0.5825     0.0281     0.5200     0.6156
Weighted F1              0.8260     0.0241     0.7715     0.8568
Macro Recall             0.6078     0.0296     0.5457     0.6429
Weighted Recall          0.8320     0.0251     0.7767     0.8641
ROC-AUC                  0.9254     0.0281     0.8759     0.9728

Per-run details:
 run       seed  accuracy  macro_f1  weighted_f1  macro_recall  weighted_recall  roc_auc
   1 1590485570  0.854369  0.594439     0.846016      0.614052         0.854369 0.931386
   2  626712896  0.834951  0.566773     0.822472      0.590931         0.834951 0.939729
   3  864773965  0.844660  0.603019     0.841658      0.633578         0.844660 0.951749
   4  319174566  0.805825  0.562704     0.805939      0.582680         0.805825 0.893501
   5 1475866196  0.844660  0.586877     0.837454      0.610376         0.844660 0.935191
   6 1125221626  0.864078  0.615614     0.856829      0.640931         0.864078 0.972786
   7  678966671  0.834951  0.611765     0.834486      0.642892         0.834951 0.929164
   8 1679855864  0.825243  0.578249     0.819294      0.613235         0.825243 0.911799
   9  345354184  0.834951  0.585153     0.824469      0.603922         0.834951 0.913101
  10 2142132542  0.776699  0.520000     0.771462      0.545670         0.776699 0.875857
