PRAD Baseline Logistic Regression - 10 Runs

Metric                     Mean        Std        Min        Max
------------------------------------------------------------
Accuracy                 0.7620     0.0397     0.7100     0.8300
Macro F1                 0.3811     0.0380     0.3315     0.4557
Weighted F1              0.7401     0.0357     0.6938     0.8107
Macro Recall             0.3868     0.0389     0.3242     0.4661
Weighted Recall          0.7620     0.0397     0.7100     0.8300
ROC-AUC                  0.9325     0.0169     0.9039     0.9544

Per-run details:
 run       seed  accuracy  macro_f1  weighted_f1  macro_recall  weighted_recall  roc_auc
   1  399336914      0.71  0.382224     0.702584      0.368872             0.71 0.903910
   2  245892229      0.83  0.455738     0.810713      0.466061             0.83 0.946892
   3 1422326134      0.75  0.357742     0.735667      0.377147             0.75 0.922694
   4 1758363705      0.78  0.354176     0.741851      0.356905             0.78 0.928928
   5 1730239472      0.72  0.361234     0.706959      0.371670             0.72 0.936322
   6  484150778      0.78  0.435546     0.761045      0.424044             0.78 0.954405
   7  909951406      0.75  0.375970     0.729922      0.396407             0.75 0.926180
   8 1200349196      0.81  0.390759     0.775666      0.403984             0.81 0.945346
   9  975204328      0.77  0.366484     0.742550      0.378197             0.77 0.949148
  10  763894633      0.72  0.331548     0.693845      0.324220             0.72 0.911311
